"-77.10147","38.91994476","FLETCHERS BOATHOUSE TUNNEL","6'-2"""
"-77.94794","39.61644363","FOUR LOCKS TUNNEL","7'-8"""
"-82.348272","35.218083","Pearson’s Falls  Access Tunnel","7'-8"""
"-77.97034","39.60858154","McCOYS FERRY TUNNEL","7'-10"""
"-81.25313","37.25901","Bluefield Tunnel","8'-10"""
"-81.955731","35.546064","Vein Mountain Road Tunnel","9'-5"""
"-86.8000104","33.521987","5th Avenue Tunnel","9'-9"""
"-103.57819737","43.84720951","Hood Tunnel","9'-10"""
"-85.25375","35.051733","Wilcox Tunnel","9'-10"""
"-103.7084","41.83552932","TUNNEL #3","10'-5"""
"-112.9597","37.2104454","ZION - MOUNT CARMEL TUNNEL","10'-5"""
"-76.69928","37.27313995","WILLIAMSBURG TUNNEL","10'-6"""
"-108.7357","39.1127777","RIM ROCK DRIVE TUNNEL #1","10'-8"""
"-108.7359","39.1149444","RIM ROCK DRIVE TUNNEL #2","10'-9"""
"-119.6977","37.72330474","BIG OAK FLAT TUNNEL #1","10'-11"""
"-103.43799572","43.86219922","C.C. Gideon Tunnel","11'-0"""
"-108.6466","39.03258514","RIM ROCK DRIVE TUNNEL #3","11'-2"""
"-118.70779722","34.06933611","Malibu Canyon Tunnel","11'-3"""
"-94.07336168","41.29547496","6100.3T637","11'-4"""
"-103.49077253","43.82015796","Iron Creek Tunnel","11'-4"""
"-103.54108972","43.8418165","Needles Eye Tunnel","11'-4"""
"-75.177829","39.964729","Spring Garden Tunnel","11'-5"""
"-119.9631","47.27294","BAIRD SPRINGS TUNNEL","11'-6"""
"-80.039521","40.452825","Corliss St. Tunnel","11'-8"""
"-77.19821","38.97311019","CARDEROCK TUNNEL","11'-9"""
"-103.7096","41.831501","TUNNEL #1","11'-9"""
"-83.18761","35.50780487","LICKSTONE RIDGE TUNNEL","11'-10"""
"-80.071714","40.474064","Stowe TWP Seventh St. Tunnel","11'-11"""
"-118.13574444","34.3139","Angeles Forest Highway","12'-0"""
"-88.04036666","30.69028333","Bankhead Tunnel","12'-0"""
"-117.67576944","34.200525","Mount Baldy Road Tunnel #1","12'-0"""
"-117.67678611","34.20380278","Mount Baldy Road Tunnel #2","12'-0"""
"-118.0962","34.24097","Mueller Tunnel","12'-0"""
"-103.7098","41.83286285","TUNNEL #2","12'-0"""
"-74.00566","40.681833","Hugh L. Carey Tunnel","12'-2"""
"-73.954056","40.741507","Queens Midtown Tunnel","12'-2"""
"-104.9986","37.34","Apishapa Arch","12'-3"""
"-119.7036","37.72549819","BIG OAK FLAT TUNNEL #2","12'-3"""
"-103.43448044","43.86809113","Doane Robinson Tunnel","12'-3"""
"-121.610817","45.71785","TUNNEL NO 3","12'-3"""
"-83.03308","35.43375015","PINNACLE RIDGE TUNNEL","12'-4"""
"-85.267533","35.008967","Bachman Tunnel","12'-6"""
"-105.251111","39.746111","Clear Creek Canyon #1","12'-6"""
"-74.02137","40.72724","Holland Tunnel","12'-6"""
"-103.43131881","43.85984775","Scovel Johnson Tunnel","12'-6"""
"-121.624641","45.7110558","TUNNEL NO 1","12'-6"""
"-83.19278","35.51380538","BUNCHES BALD TUNNEL","12'-8"""
"-83.21484","35.51783371","BIG WITCH TUNNEL","12'-9"""
"-122.385525","37.92122778","Dornan Drive Tunnel","12'-9"""
"-78.31214","38.65455627","MARYS ROCK TUNNEL","12'-9"""
"-112.2996","37.741","Rock Tunnel in Red Canyon","12'-9"""
"-117.25","47.56667","UPRR OVER MADISON RD","12'-9"""
"-118.24836111","34.05333611","2nd Street Tunnel","12'-10"""
"-122.1346583","43.61508333","Salt Creek Tunnel, Hwy 18","12'-10"""
"-121.585358","45.72011","TUNNEL NO 5","12'-10"""
"-86.158331","39.762023","Meridian Street under CSX RR and Other Items","12'-11"""
"-109.351447","33.071475","Rock Tunnel","12'-11"""
"-105.328889","39.741667","Clear Creek Canyon #3","13'-0"""
"-105.406389","39.7425","Clear Creek Canyon #5","13'-0"""
"-83.0404","42.3239","Detroit Windsor","13'-0"""
"-72.67466","41.7622","Hartford Library Tunnel","13'-0"""
"-74.00879","40.76201","Lincoln  Tunnel","13'-0"""
"-80.00425","40.431936","Mt Washington Tunnel","13'-0"""
"-111.0835","33.3044","Queen Creek Tunnel","13'-0"""
"-83.71525","35.64958191","BOTE MOUNTAIN TUNNEL","13'-2"""
"-90.0857","29.896417","Harvey Tunnel","13'-2"""
"-121.275","45.69","LYLE TUNNEL","13'-2"""
"-75.147911","39.954302","Fifth Street Tunnel","13'-3"""
"-83.0451","42.3265","Hart Plaza","13'-3"""
"-119.7191","37.72258377","BIG OAK FLAT TUNNEL #3","13'-4"""
"-117.4492","47.63264","BNSF OC THORPE RD","13'-4"""
"-117.4471","47.63269","FISH TRAIL OC THORPE RD","13'-4"""
"-120.145683","47.77834","KNAPPS HILL TUNNEL","13'-4"""
"-119.27620699","34.50716189","Middle Matilija Tunnel","13'-4"""
"-119.27568831","34.50761515","North Matilija Tunnel","13'-4"""
"-119.28387949","34.50733539","South Matilija Tunnel","13'-4"""
"-121.664","46.76338958","STEVENS CANYON ROAD TUNNEL #1","13'-4"""
"-77.0325","38.90583333","Thomas Circle over 14th Street, N.W.","13'-4"""
"-80.009306","40.434522","Wabash HOV Tunnel","13'-4"""
"-119.6776","37.71558381","WAWONA TUNNEL","13'-4"""
"-121.13","46.6566658","RIMROCK TUNNEL","13'-5"""
"-71.038","42.373","SUMNER TUNNEL","13'-5"""
"-71.0552222","42.362379","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","13'-5"""
"-77.04667","38.92499923","ZOO TUNNEL","13'-5"""
"-105.4136","38.9319","11 Mile #1","13'-6"""
"-77.01388889","38.56888889","Air Rights Tunnel (Center Leg Freeway - I-395)","13'-6"""
"-117.86229999","34.36136665","Angeles Crest Tunnel 2","13'-6"""
"-82.74692","35.41808319","BUCK SPRING TUNNEL","13'-6"""
"-71.0533","42.363","CALLAHAN TUNNEL","13'-6"""
"-76.0768","37.0364","Chesapeake Channel Tunnel","13'-6"""
"-82.37634","35.70119476","CRAGGY PINNACLE TUNNEL","13'-6"""
"-80.009193","40.414597","LIBERTY TUNNEL N.B.","13'-6"""
"-79.999519","40.428974","LIBERTY TUNNEL S.B.","13'-6"""
"-118.48049722","34.1288","Sepulveda Blvd Tunnel","13'-6"""
"-76.1126","36.9662","Thimble Shoal Tunnel","13'-6"""
"-121.61911","45.714695","TUNNEL NO 2","13'-6"""
"-104.989167","39.761111",,"13'-6"""
"-81.73165","36.593533","Barebone Rock Tunnel","13'-8"""
"-79.32198","37.66561126","BLUFF MOUNTAIN TUNNEL","13'-8"""
"-122.40709253","37.79027898","Stockton Street Tunnel","13'-8"""
"-106.145833","38.876389",,"13'-8"""
"-73.99389","40.75808","41st Street Underpass","13'-9"""
"-107.661667","38.003611","Bear Creek","13'-9"""
"-71.02863889","42.3536056","TED WILLIAMS TUNNEL WESTBOUND","13'-9"""
"-121.598137","45.7202225","TUNNEL NO 4","13'-9"""
"-87.636664","41.876189",,"13'-9"""
"-82.71464","35.45013809","FORK MOUNTAIN TUNNEL","13'-10"""
"-82.77361","35.39152908","FRYING PAN TUNNEL","13'-10"""
"-71.05275556","42.34755278","I-90 WB CONNECTOR TUNNEL","13'-10"""
"-71.04513333","42.34839444","I-90 WB CONNECTOR TUNNEL","13'-10"""
"-71.04067222","42.34708333","I-90 WB CONNECTOR TUNNEL","13'-10"""
"-85.2589","35.03","McCallie Tunnel","13'-10"""
"-79.926506","40.427929","Squirrel Hill Tunnel EB","13'-10"""
"-79.911552","40.425953","Squirrel Hill Tunnel WB","13'-10"""
"-121.527","46.84650039","SR 123 TUNNEL","13'-10"""
"-121.6377","46.76181411","STEVENS CANYON ROAD TUNNEL #2","13'-10"""
"-131.6493","55.343","Water Street Tunnel","13'-10"""
"-117.86449908","34.36246376","Angeles Crest Tunnel 1","13'-11"""
"-82.538672","35.598739","Beaucatcher Tunnel","13'-11"""
"-71.05985833","42.34616944","I-90 EB CONNECTOR TUNNEL","13'-11"""
"-71.05271944","42.34736667","I-90 EB CONNECTOR TUNNEL","13'-11"""
"-71.05218056","42.34785278","I-90 WB CONNECTOR TUNNEL","13'-11"""
"-71.0853","42.3475","PRUDENTIAL TUNNEL","13'-11"""
"-71.024825","42.36164167","RAMP TAD","13'-11"""
"-71.03773889","42.34660278","TED WILLIAMS TUNNEL EASTBOUND","13'-11"""
"-71.02851389","42.35361111","TED WILLIAMS TUNNEL EASTBOUND","13'-11"""
"-71.0563333","42.352672","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","13'-11"""
"-71.0687615","42.3659127","THOMAS P. TIP ONEILL JR TUNNEL - 93NB
93","13'-11"""
"-76.5767083","39.2460167","BHT - Baltimore Harbor Tunnel","14'-0"""
"-83.0491","42.3265","Cobo Hall","14'-0"""
"-83.0489","42.3279","Cobo Hall","14'-0"""
"-77.04388889","38.90102778","Dupont Circle over Connecticut Avenue","14'-0"""
"-122.7003","47.04944","DURGIN ROAD TUNNEL","14'-0"""
"-80.024391","40.431789","FORT PITT TUNNEL E.B. Inbound","14'-0"""
"-80.013885","40.437614","FORT PITT TUNNEL W.B. outbound","14'-0"""
"-72.97139","41.34386","Heroes Tunnel","14'-0"""
"-82.17847","37.86902","Historic Dingess Tunnel","14'-0"""
"-90.708867","29.588383","Houma Tunnel","14'-0"""
"-71.061212","42.3433998","I-90 EB CONNECTOR TUNNEL","14'-0"""
"-71.04416944","42.34794167","I-90 EB CONNECTOR TUNNEL","14'-0"""
"-71.0406238","42.347241","I-90 WB CONNECTOR TUNNEL","14'-0"""
"-118.81088056","34.10511667","Kanan Road Northbound","14'-0"""
"-89.8401","38.5449","Mid-America Taxiway over East Drive","14'-0"""
"-86.15644","39.763083","Pennsylvania Street under CSX RR and Other Items","14'-0"""
"-77.03654167","38.45416667","Scott Circle over 16th Street, N.W.","14'-0"""
"-123.2527944","45.73092778","Sunset Tunnel, Hwy 47 (Dennis L Edwards Tunnel)","14'-0"""
"-71.02499722","42.36116667","TED WILLIAMS TUNNEL EASTBOUND","14'-0"""
"-71.0253952","42.360702","TED WILLIAMS TUNNEL WESTBOUND","14'-0"""
"-71.05751389","42.34852778","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-0"""
"-71.05230278","42.35435","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-0"""
"-71.0519111","42.35927222","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-0"""
"-71.0659722","42.36623611","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-0"""
"-71.06059722","42.36623611","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-0"""
"-71.05674722","42.36251389","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-0"""
"-71.05228333","42.35945833","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-0"""
"-71.0521312","42.3584596","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-0"""
"-118.1696","46.88565","UPRR UNDERPASS","14'-0"""
"-118.300725","34.12361111","Vermont Canyon Road Tunnel","14'-0"""
"-108.16927778","43.445975","Wind River Canyon Tunnel No. 2","14'-0"""
"-108.16886389","43.447475","Wind River Canyon Tunnel No. 3","14'-0"""
"-108.16970556","43.44447778","Wind River CanyonTunnel No. 1","14'-0"""
"-106.145556","38.876839",,"14'-0"""
"-86.161866","39.76291","Capitol Avenue under CSX RR and Other Items","14'-2"""
"-119.95","39.046","Cave Rock Tunnel","14'-2"""
"-82.89369","35.30569458","DEVILS COURTHOUSE TUNNEL","14'-2"""
"-105.933056","39.678889","Eisenhower Westbound","14'-2"""
"-82.67403","35.45566558","FERRIN KNOB TUNNEL #2","14'-2"""
"-76.31785556","37.00103056","Hampton Roads Bridge Tunnel WBL","14'-2"""
"-87.646926","41.887388","Hubbards Cave","14'-2"""
"-86.160099","39.762042","Illinois Street under CSX RR and Other Items","14'-2"""
"-83.26908","35.52022171","RATTLESNAKE MOUNTAIN TUNNEL","14'-2"""
"-71.05648889","42.36275833","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-2"""
"-71.05246667","42.35469444","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-2"""
"-121.415","47.7333336","TUNNEL","14'-2"""
"-122.27816973","37.78807774","Webster Street Tube (SR 260 SB)","14'-2"""
"-82.044803","35.752489",,"14'-2"""
"-122.21743397","37.85454976","Caldecott Tunnel Bore 1","14'-3"""
"-76.28888611","36.9215","Downtown Tunnel WBL","14'-3"""
"-82.66656","35.45522308","FERRIN KNOB TUNNEL #1","14'-3"""
"-121.37324272","39.86918796","Grizzly Dome Tunnel","14'-3"""
"-71.04507778","42.34822222","I-90 EB CONNECTOR TUNNEL","14'-3"""
"-105.931944","39.678333","Johnson Eastbound","14'-3"""
"-76.31896389","36.85409722","Midtown Tunnel","14'-3"""
"-83.27084","35.51239013","SHERILL COVE TUNNEL","14'-3"""
"-71.0248871","42.3654149","TED WILLIAMS TUNNEL WESTBOUND","14'-3"""
"-71.0587604","42.3650439","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-3"""
"-71.0562048","42.3617853","THOMAS P. TIP ONEILL JR TUNNEL - 93SB","14'-3"""
"-117.4183","47.66224","WASHINGTON ST TUNNEL","14'-3"""
"-82.11736","35.82997131","WILDACRES TUNNEL","14'-3"""
"-157.81201111","21.37969722","Wilson Tunnel (Inbound)","14'-3"""
"-157.81861945","21.37553056","Wilson Tunnel (Outbound)","14'-3"""
"-105.026111","38.731667",,"14'-3"""
"-77.02805556","38.88805556","12th Street Expressway under Independence Avenue","14'-4"""
"-123.9663528","45.79968333","Arch Cape Tunnel, Hwy 9","14'-4"""
"-118.23132073","34.07569788","Figueroa Street Tunnel","14'-4"""
"-82.62219","35.47019577","GRASSY KNOB TUNNEL","14'-4"""
"-80.13722222","26.11694444","Henry E. Kinney Tunnel","14'-4"""
"-82.64208","35.45033264","PINE MOUNTAIN TUNNEL","14'-4"""
"-83.036703","35.722303",,"14'-4"""
"-77.02805556","38.88972222","12th St. Expressway under Mall & Jefferson Drive","14'-5"""
"-105.375278","40.693889","Mishawaka","14'-5"""
"-77.015","38.88222222","Southwest Freeway over 4th St. to 2nd St., S.W.","14'-5"""
"-71.05806389","42.36504444","THOMAS P. TIP ONEILL JR TUNNEL - 93NB","14'-5"""
"-82.044803","35.754425",,"14'-5"""
"-77.025","38.88833333","9th Street Expressway under the Mall","14'-6"""
"-122.3478","47.613987","BATTERY ST TUNNEL","14'-6"""
"-122.41781254","37.79634027","Broadway Street Tunnel","14'-6"""
"-105.3225","39.739722","Clear Creek Canyon #2","14'-6"""
"-82.38353","35.6879158","CRAGGY FLATS TUNNEL","14'-6"""
"-82.67553","35.45427703","FERRIN KNOB TUNNEL #3","14'-6"""
"-72.67557","41.76992","Hartford I-84 Platform","14'-6"""
"-118.80441667","34.10806111","Kanan Road Southbound","14'-6"""
"-82.74189","35.42216491","LITTLE PISGAH RIDGE TUNNEL","14'-6"""
"-82.08686","35.85208511","LITTLE SWITZERLAND TUNNEL","14'-6"""
"-81.738056","37.611944","Rocky Bend Access Tunnel","14'-6"""
"-82.46091","35.66272354","TANBARK RIDGE TUNNEL","14'-6"""
"-82.16898","35.76402664","TWIN TUNNEL #1","14'-6"""
"-77.04694444","38.86911111","Virginia Avenue over E Street Expressway","14'-6"""
"-122.21745274","37.85462693","Caldecott Tunnel Bore 2","14'-8"""
"-108.4241","37.28491592","CHAPIN MESA ROAD TUNNEL","14'-8"""
"-121.37323237","39.87287572","Elephant Butte Tunnel","14'-8"""
"-122.132553","47.57761","I-90 OVER SE 35TH","14'-8"""
"-123.3728","48.01055526","NORTH TUNNEL (HURRICANE)","14'-8"""
"-77.04833333","38.90222222","Washington Circle over K Street Expressway","14'-8"""
"-106.145556","38.876111",,"14'-8"""
"-105.334722","40.005556","Boulder Canyon","14'-9"""
"-120.22609922","34.48816275","Gaviota Gorge Tunnel","14'-9"""
"-76.30097778","36.93678056","I-564 Runway Tunnel","14'-9"""
"-122.27657404","37.78744035","Posey Tube (SR 260 NB)","14'-9"""
"-122.3212","47.67428","RAVENNA-S RAMP �TUNNEL","14'-9"""
"-82.20728","35.72716522","ROUGH RIDGE TUNNEL","14'-9"""
"-122.305","47.435","S 188TH ST TUNNEL BR 1","14'-9"""
"-77.02805556","38.88277778","Southwest Freeway over 12th Street, S.W.","14'-9"""
"-82.69945","35.45555496","YOUNG PISGAH RIDGE TUNNEL","14'-9"""
"-87.634146","41.875072",,"14'-9"""
"-122.3298","47.60458","5TH-EXP �TUNNEL","14'-10"""
